Date,Artist,Genre,Venue
10/31/19,Vincent,Trap,DNA Lounge
10/31/19,Gesaffelstein,Electronic,Valencia Room
11/1/19,Space Laces,Dubstep,UC Theatre
11/1/19,Cash Cash,Future Bass,DNA Lounge
,,,
