10/30/19,Herobust,Dubstep,The Observatory
10/31/19,Eprom,Expieremental,Academy
10/31/19,Gjones,Expieremental,Exchange
11/1/19,Shades,expieremental,Academy
11/1/19,Svdden death,Dubstep,Nos Center
